symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
AAPL,2020-04-06,262.47,263.11,249.38,250.9,50455071,64.8119116924,64.9699473668,61.5795882876,61.9549230145,201820284,0.0,1.0
AAPL,2020-04-07,259.43,271.7,259.0,270.8,50721831,64.0612422385,67.0910824354,63.9550620197,66.8688447681,202887324,0.0,1.0
AAPL,2020-04-08,266.07,267.37,261.23,262.74,42223821,65.7008623614,66.0218723252,64.505717573,64.8785829925,168895284,0.0,1.0
AAPL,2020-04-09,267.99,270.07,264.7,268.7,40529123,66.1749693848,66.6885853269,65.3625672457,66.3502902112,162116492,0.0,1.0
AAPL,2020-04-13,273.25,273.7,265.83,268.31,32755731,67.4738250845,67.5849439182,65.6415989834,66.2539872221,131022924,0.0,1.0
AAPL,2020-04-14,287.05,288.25,278.05,280.0,48748672,70.8814693157,71.1777862054,68.6590926432,69.1406075889,194994688,0.0,1.0
AAPL,2020-04-15,284.43,286.33,280.63,282.4,32788641,70.2345107733,70.7036791819,69.296173956,69.7332413682,131154564,0.0,1.0
AAPL,2020-04-16,286.69,288.2,282.35,287.38,39281290,70.7925742488,71.1654396683,69.7208948312,70.9629564604,157125160,0.0,1.0
AAPL,2020-04-17,282.8,286.95,276.86,284.69,53812478,69.8320136648,70.8567762416,68.3652450609,70.298712766,215249912,0.0,1.0
AAPL,2020-04-20,276.93,281.68,276.85,277.95,32503750,68.3825302128,69.5554512344,68.3627757535,68.6343995691,130015000,0.0,1.0
AAPL,2020-04-21,268.37,277.25,265.43,276.28,45247893,66.2688030666,68.4615480501,65.5428266869,68.2220252309,180991572,0.0,1.0
AAPL,2020-04-22,276.1,277.9,272.2,273.61,29264342,68.1775776975,68.622053032,67.2145478061,67.5627201514,117057368,0.0,1.0
AAPL,2020-04-23,275.03,281.75,274.87,275.87,31203582,67.9133618042,69.5727363863,67.8738528856,68.120783627,124814328,0.0,1.0
AAPL,2020-04-24,282.97,283.01,277.0,277.2,31627183,69.8739918908,69.8838691205,68.3998153647,68.449201513,126508732,0.0,1.0
AAPL,2020-04-27,283.17,284.54,279.95,281.8,29271893,69.9233780391,70.2616731548,69.1282610518,69.5850829234,117087572,0.0,1.0
AAPL,2020-04-28,278.58,285.83,278.2,285.08,28001187,68.7899659361,70.5802138112,68.6961322544,70.3950157552,112004748,0.0,1.0
AAPL,2020-04-29,287.73,289.67,283.89,284.73,34320204,71.0493822198,71.5284278581,70.1011681729,70.3085899957,137280816,0.0,1.0
AAPL,2020-04-30,293.8,294.53,288.35,289.96,45765968,72.5482518201,72.7285112613,71.2024792795,71.6000377731,183063872,0.0,1.0
AAPL,2020-05-01,289.07,299.0,285.85,286.25,60154175,71.3802694133,73.8322916753,70.585152426,70.6839247226,240616700,0.0,1.0
AAPL,2020-05-04,293.16,293.69,286.32,289.17,33391986,72.3902161456,72.5210894385,70.7012098745,71.4049624874,133567944,0.0,1.0
AAPL,2020-05-05,297.56,301.0,294.46,295.06,36937795,73.4767114077,74.3261531581,72.7112261094,72.8593845542,147751180,0.0,1.0
AAPL,2020-05-06,300.63,303.24,298.87,300.46,35583438,74.2347887838,74.8792780188,73.8001906789,74.1928105577,142333752,0.0,1.0
AAPL,2020-05-07,303.74,305.17,301.97,303.22,28803764,75.0027433895,75.3558543497,74.5656759772,74.874339404,115215056,0.0,1.0
AAPL,2020-05-08,310.13,310.35,304.29,305.64,33511985,76.7831140349,76.8375824355,75.3372255818,75.6714634947,134047940,0.82,1.0
AAPL,2020-05-11,315.01,317.05,307.24,308.1,36486561,77.9913221943,78.4963928184,76.0675973175,76.2805192473,145946244,0.0,1.0
AAPL,2020-05-12,311.41,319.69,310.91,317.83,40575263,77.1000210931,79.150013626,76.9762292735,78.689508057,162301052,0.0,1.0
AAPL,2020-05-13,307.65,315.95,303.21,312.15,50155639,76.1691066096,78.2240508152,75.0698352514,77.2832329861,200622556,0.0,1.0
AAPL,2020-05-14,309.54,309.79,301.53,304.51,39732269,76.6370396877,76.6989355976,74.6538947375,75.3916939824,158929076,0.0,1.0
AAPL,2020-05-15,307.71,307.9,300.21,300.35,41587094,76.183961628,76.2310025194,74.3270843337,74.3617460432,166348376,0.0,1.0
AAPL,2020-05-18,314.96,316.5,310.32,313.17,33843125,77.9789430124,78.3602218168,76.8301549264,77.5357682982,135372500,0.0,1.0
AAPL,2020-05-19,313.14,318.52,313.01,315.03,25432385,77.528340789,78.860340768,77.4961549159,77.9962738671,101729540,0.0,1.0
AAPL,2020-05-20,319.23,319.52,316.52,316.68,27876215,79.0361251519,79.1079244073,78.3651734896,78.4047868719,111504860,0.0,1.0
AAPL,2020-05-21,316.85,320.89,315.87,318.66,25672211,78.4468760905,79.447113993,78.2042441241,78.8950024775,102688844,0.0,1.0
AAPL,2020-05-22,318.89,319.23,315.35,315.77,20450754,78.9519467146,79.0361251519,78.0755006317,78.1794857602,81803016,0.0,1.0
AAPL,2020-05-26,316.73,324.24,316.5,323.5,31380454,78.4171660538,80.2765191845,78.3602218168,80.0933072914,125521816,0.0,1.0
AAPL,2020-05-27,318.11,318.71,313.09,316.14,28236274,78.758831476,78.9073816595,77.515961607,78.2710917067,112945096,0.0,1.0
AAPL,2020-05-28,318.25,323.44,315.63,316.77,33449103,78.7934931855,80.0784522731,78.1448240507,78.4270693994,133796412,0.0,1.0
AAPL,2020-05-29,317.94,321.15,316.47,319.25,38399532,78.7167422573,79.5114857392,78.3527943076,79.0410768247,153598128,0.0,1.0
AAPL,2020-06-01,321.85,322.35,317.21,317.75,20254653,79.6847942867,79.8085861063,78.5360062007,78.6697013658,81018612,0.0,1.0
AAPL,2020-06-02,323.34,323.44,318.93,320.75,21910704,80.0536939091,80.0784522731,78.9618500601,79.4124522835,87642816,0.0,1.0
AAPL,2020-06-03,325.12,326.2,322.3,324.66,26122804,80.494392787,80.7617831173,79.7962069243,80.3805043129,104491216,0.0,1.0
AAPL,2020-06-04,322.32,325.62,320.78,324.39,21890091,79.8011585971,80.6181846066,79.4198797927,80.3136567303,87560364,0.0,1.0
AAPL,2020-06-05,331.5,331.75,323.23,323.35,34312550,82.0739764053,82.1358723151,80.0264597088,80.0561697455,137250200,0.0,1.0
AAPL,2020-06-08,333.46,333.6,327.32,330.25,23913634,82.5592403382,82.5939020477,81.0390767933,81.7644968562,95654536,0.0,1.0
AAPL,2020-06-09,343.99,345.61,332.01,332.14,36928091,85.1662960593,85.5673815548,82.2002440613,82.2324299344,147712364,0.0,1.0
AAPL,2020-06-10,352.84,354.77,346.09,347.9,41662938,87.3574112665,87.8352476902,85.6862217017,86.1343480887,166651752,0.0,1.0
AAPL,2020-06-11,335.9,351.06,335.48,349.31,50415613,83.1633444179,86.9167123886,83.0593592894,86.48344102,201662452,0.0,1.0
AAPL,2020-06-12,338.8,347.8,334.22,344.72,50036513,83.8813369717,86.1095897248,82.747403904,85.3470321159,200146052,0.0,1.0
AAPL,2020-06-15,342.99,345.68,332.58,333.25,34702230,84.91871242,85.5847124096,82.3413667356,82.5072477739,138808920,0.0,1.0
AAPL,2020-06-16,352.08,353.2,344.72,351.46,41357182,87.1692477007,87.4465413766,85.3470321159,87.0157458443,165428728,0.0,1.0
AAPL,2020-06-17,351.59,355.4,351.09,355.15,28601626,87.0479317174,87.9912253829,86.9241398978,87.9293294731,114406504,0.0,1.0
AAPL,2020-06-18,351.73,353.45,349.22,351.41,24205096,87.0825934269,87.5084372864,86.4611584925,87.0033666624,96820384,0.0,1.0
AAPL,2020-06-19,349.72,356.56,345.15,354.64,66118952,86.5849503121,88.2784224044,85.4534930808,87.8030618171,264475808,0.0,1.0
AAPL,2020-06-22,358.87,359.46,351.15,351.34,33861316,88.850340611,88.9964149582,86.9389949162,86.9860358076,135445264,0.0,1.0
AAPL,2020-06-23,366.53,372.38,362.27,364.0,53038869,90.7468312876,92.1951955771,89.6921249844,90.1204446803,212155476,0.0,1.0
AAPL,2020-06-24,360.06,368.79,358.52,365.0,48155849,89.1449651417,91.3063703122,88.7636863373,90.3680283195,192623396,0.0,1.0
AAPL,2020-06-25,364.84,365.0,357.57,360.7,34380628,90.3284149373,90.3680283195,88.52848188,89.3034186708,137522512,0.0,1.0
AAPL,2020-06-26,353.63,365.32,353.02,364.41,51314211,87.5530023415,90.4472550841,87.4019763215,90.2219539724,205256844,0.0,1.0
AAPL,2020-06-29,361.78,362.1736,351.28,353.25,32661519,89.5708090012,89.6682579216,86.9711807893,87.4589205586,130646076,0.0,1.0
AAPL,2020-06-30,364.8,365.98,360.0,360.08,35055821,90.3185115917,90.610660286,89.1301101234,89.1499168145,140223284,0.0,1.0
AAPL,2020-07-01,364.11,367.36,363.91,365.12,27690454,90.1476788806,90.9523257081,90.0981621528,90.3977383562,110761816,0.0,1.0
AAPL,2020-07-02,364.11,370.47,363.64,367.85,28814516,90.1476788806,91.7223108261,90.0313145702,91.0736416913,115258064,0.0,1.0
AAPL,2020-07-06,373.85,375.78,369.87,370.0,29745936,92.5591435267,93.0369799505,91.5737606426,91.6059465157,118983744,0.0,1.0
AAPL,2020-07-07,372.69,378.62,372.23,375.41,28206999,92.2719465052,93.7401174859,92.1580580312,92.9453740039,112827996,0.0,1.0
